,forks_count,language,stargazers,topics,url,watchers_count
752,31,Python,115,"['data-science', 'data-science-bowl', 'deep-learning', 'kaggle', 'machine-learning', 'python']",https://api.github.com/repos/minerva-ml/open-solution-data-science-bowl-2018,115
753,22,Objective-C,114,"['algorithm-implementations', 'ios', 'machine-learning', 'macos', 'multi-objective', 'neural-network', 'objective-c', 'ranking', 'regression', 'supervised-learning']",https://api.github.com/repos/yconst/YCML,114
754,35,Jupyter Notebook,114,"['data-science', 'deep-learning', 'deep-neural-networks', 'healthcare', 'machine-learning', 'python']",https://api.github.com/repos/analysiscenter/cardio,114
755,12,C#,114,"['ai', 'backpropagation-algorithm', 'classification-algorithims', 'cnn', 'convolutional-neural-networks', 'csharp', 'cuda', 'gpu-acceleration', 'gradient-descent', 'machine-learning', 'net-framework', 'netstandard', 'neural-network', 'supervised-learning', 'visual-studio']",https://api.github.com/repos/Sergio0694/NeuralNetwork.NET,114
756,61,Perl,114,"['amazon', 'amazon-web-services', 'autoscaling', 'aws', 'aws-sdk', 'aws-sdk-perl', 'cloud-providers', 'cloudformation', 'dynamodb', 'ec2', 'elb', 'elbv2', 'machine-learning', 'perl', 's3', 'sdk', 'sns', 'sqs']",https://api.github.com/repos/pplu/aws-sdk-perl,114
757,42,Java,113,"['machine-learning', 'multi-label', 'multi-target', 'weka']",https://api.github.com/repos/Waikato/meka,113
758,24,Python,113,"['cnns', 'machine-learning', 'named-entity-recognition', 'natural-language-processing', 'neural-networks', 'tensorflow']",https://api.github.com/repos/iesl/dilated-cnn-ner,113
759,43,JavaScript,113,"['amazon-rekognition', 'amazon-web-services', 'aws', 'aws-lambda', 'capture-frames', 'capture-video', 'image', 'image-analysis', 'machine-learning', 'mjpeg', 'opencv', 'python', 'video', 'video-processing']",https://api.github.com/repos/aws-samples/amazon-rekognition-video-analyzer,113
760,31,Python,112,"['algorithmic-trading', 'data-science', 'guide', 'historical-stock-fundamentals', 'machine-learning', 'python', 'quantitative-finance', 'scikit-learn', 'sklearn', 'stock', 'stock-prediction', 'stock-prices', 'trading', 'tutorial', 'yahoo-finance']",https://api.github.com/repos/robertmartin8/MachineLearningStocks,112
761,33,,112,"['convolutional-neural-networks', 'deep-convolutional-networks', 'deep-learning', 'deep-learning-tutorial', 'machine-learning', 'ml', 'neural-network']",https://api.github.com/repos/GKalliatakis/Adventures-in-deep-learning,112
762,21,Python,112,"['arxiv', 'began', 'cgan', 'cogan', 'dcgan', 'dragan', 'ebgan', 'gan', 'generative-adversarial-network', 'lapgan', 'lsgan', 'machine-learning', 'python', 'srgan', 'stargan', 'tensorflow', 'wgan', 'wgan-gp']",https://api.github.com/repos/kozistr/Awesome-GANs,112
763,32,Jupyter Notebook,112,"['machine-learning', 'python']",https://api.github.com/repos/gwulfs/bostonml,112
764,51,Jupyter Notebook,111,"['anomalydetection', 'awesome', 'deep-learning', 'kaggle', 'machine-learning', 'ml', 'nlp', 'pandas', 'python', 'sklearn', 'tensorflow']",https://api.github.com/repos/jacksu/machine-learning,111
765,41,C++,111,"['cplusplus', 'machine-learning', 'neural-networks', 'python']",https://api.github.com/repos/OpenANN/OpenANN,111
766,15,Python,111,"['computer-vision', 'corpus', 'machine-learning', 'natural-language-processing']",https://api.github.com/repos/clic-lab/nlvr,111
767,27,Python,111,"['data-science', 'machine-learning', 'preprocessing', 'python', 'stacking']",https://api.github.com/repos/MaxHalford/xam,111
768,71,Shell,111,"['jetson-tx2', 'machine-learning', 'python', 'tensorflow']",https://api.github.com/repos/jetsonhacks/installTensorFlowTX2,111
769,57,Python,110,"['benchmark', 'clinical-data', 'deep-learning', 'machine-learning']",https://api.github.com/repos/YerevaNN/mimic3-benchmarks,110
770,22,C#,110,"['adaboost', 'cross-validation', 'csharp', 'decision-trees', 'deep-learning', 'dotnet', 'ensemble-learning', 'gradient-boosting-machine', 'learning', 'machine', 'machine-learning', 'metrics', 'neural-nets', 'opensource', 'random-forest']",https://api.github.com/repos/mdabros/SharpLearning,110
771,26,,110,"['article', 'google', 'guideline', 'machine-learning', 'mirror']",https://api.github.com/repos/thundergolfer/google-rules-of-machine-learning,110
772,42,R,110,"['acoustic-properties', 'ai', 'artificial-intelligence', 'data-science', 'gender', 'gender-recognition', 'logistic-regression', 'machine-learning', 'neural-network', 'signal', 'speech', 'vocal', 'voice']",https://api.github.com/repos/primaryobjects/voice-gender,110
773,171,Jupyter Notebook,109,"['graphlab', 'machine-learning']",https://api.github.com/repos/tuanavu/coursera-university-of-washington,109
774,171,Python,109,"['data-mining', 'data-science', 'machine-learning', 'python']",https://api.github.com/repos/saimadhu-polamuri/DataAspirant_codes,109
775,25,Java,108,"['artificial-intelligence', 'begginer', 'easy-to-use', 'hidden-layers', 'java', 'learning', 'learning-rate', 'lightweight', 'machine-learning', 'matrices', 'matrix', 'matrix-calculations', 'neural-network', 'neurons', 'prediction', 'weight', 'weights']",https://api.github.com/repos/sebig3000/MachineLearning,108
776,41,Python,108,"['imitation', 'imitation-learning', 'inverse-reinforcement-learning', 'irl', 'learning-from-demonstration', 'lfd', 'machine-learning', 'ml', 'reinforcement-learning', 'rl', 'tensorflow']",https://api.github.com/repos/stormmax/irl-imitation,108
777,19,,107,"['data-science', 'interview-preparation', 'interview-questions', 'machine-learning']",https://api.github.com/repos/iamtodor/data-science-interview-questions-and-answers,107
778,5,Elixir,107,"['c', 'cblas', 'elixir', 'erlang', 'jupyter-notebook', 'linear-algebra', 'machine-learning', 'matrix', 'numpy']",https://api.github.com/repos/versilov/matrex,107
779,58,Python,107,"['deep-learning', 'machine-learning']",https://api.github.com/repos/a514514772/Real-Time-Facial-Expression-Recognition-with-DeepLearning,107
780,19,Jupyter Notebook,107,"['computed-tomography', 'data-science', 'deep-learning', 'machine-learning', 'medical-imaging', 'neural-networks', 'tensorflow']",https://api.github.com/repos/analysiscenter/radio,107
781,39,Python,106,"['deep-learning', 'machine-learning', 'tensorflow', 'text-summarization']",https://api.github.com/repos/surmenok/TextSum,106
782,13,Python,106,"['information-theory', 'machine-learning', 'python', 'topic-modeling', 'unsupervised-learning']",https://api.github.com/repos/gregversteeg/corex_topic,106
783,4,Clojure,106,"['clojure', 'deep-learning', 'machine-learning', 'tensorflow']",https://api.github.com/repos/bpiel/guildsman,106
